id,mid,name,sex,face,sign,level,fans_badge,article,video,follower,archive_view,likes,total_charge_count,month_charge_count,birthday,official_role,official_title,official_type,vip_type,vip_status,url,category1,category2,tags,xxpoint,interact,fansgrowth,notesgrowth,viewgrowth,interactgrowth,ddate,sdate,sync_video,sync_article,is_huahuokol,resting,vdate,mdate,evr_view,evr_like,evr_collect,inc_percent
1573,401742377,原神,保密,https://i2.xxkol.cn/bfs/face/d2a95376140fb1e5efbcbed70ef62891a3e5284f.jpg,原神官方账号,6,1,138,162,8818902,466087173,49972830,0,0,,3,原神官方账号,1,2,1,https://space.bilibili.com/401742377,游戏,动画,"原神,原神Project",10,6.13%,67.85,7.42,1.07,78.6,2021/12/30,2021/12/30 15:34,1,1,0,1,2021/12/30 0:38,2021/12/27 14:26,2146870.32,168193.24,33707.52,2.62%
75,62540916,周六野Zoey,保密,https://i0.xxkol.cn/bfs/face/3343a1a609d95c669671b0b4e57484708fb6760c.jpg,"每周更新!Youtube微博同名,公众号wildsaturday, Ins:wildsaturday.zoey",6,1,0,210,8644297,503985453,11641620,1870,13,,1,bilibili 2020百大UP主、知名UP主,2,0,0,https://space.bilibili.com/62540916,时尚,生活,"健身美体,时尚搭配,周六野Zoey,旅游生活,运动时尚",6,0.27%,15.93,1.37,0.61,4.63,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:46,244543.111,12649.889,13229,0.24%
5,14110780,凉风Kaze,保密,https://i1.xxkol.cn/bfs/face/e0cc906bb531195e9ee9f3b575effdd2b056eaea.jpg,"喜欢请关注~不喜欢的话我再想想办法~
微博：@凉风Kaze 
阅片无数系列每周三晚22点更新！！",6,1,2,438,8240902,1218172148,118970532,42085,351,11月27日,1,2020年度弹幕人气奖UP主、bilibili? 2020百大UP主,2,2,1,https://space.bilibili.com/14110780,动画,生活,"凉风有性,我是胖次,不正经解说,偏爱误解,经常脑洞",10,7.38%,7.53,3.63,0.83,90.71,2021/12/30,2021/12/30 15:45,1,1,1,1,2021/12/30 0:12,2021/12/27 11:43,1915024.714,196443.393,16589.75,0.05%
32,927587,木鱼水心,男,https://i2.xxkol.cn/bfs/face/e922d9dc09a2d21f1400ad0f02f75ecf1b3575c8.jpg,公众号：木鱼水心 影评某种程度上，是让看过这部片的人，不那么孤独的东西。商务邮箱/QQ：bd@ark-tv.com,6,1,0,1155,8193356,1012737057,46201659,44212,463,1月1日,1,bilibili 2020百大UP主、 知名UP主,2,2,1,https://space.bilibili.com/927587,影视,科技,"木鱼说,木鱼微剧场,三分钟影评",10,5.87%,33.27,3.68,0.97,76.13,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:45,1692304.458,172208.75,23243.958,0.86%
1410,19577966,李子柒,保密,https://i2.xxkol.cn/bfs/face/82d27965dae3b2fe9e52780c6309c7b37ad4cbf2.jpg,李家有女，人称子柒。 新浪微博：李子柒 邮箱：liziqistyle@163.com,6,0,0,142,7914253,257044104,13582075,0,0,,1,bilibili 知名美食UP主,2,1,0,https://space.bilibili.com/19577966,生活,时尚,,2,0%,3.41,0.22,1.38,1.96,2021/12/30,2021/12/30 15:44,1,1,0,1,2021/12/30 0:38,2021/12/27 13:52,0,0,0,-0.05%
9,562197,中国BOY超级大猩猩,男,https://i0.xxkol.cn/bfs/face/ffb50dd4e712386eb888030ebc6f4aea3a65cd8e.jpg,新浪 @中国BOY-Hans,6,1,0,1482,7872382,1429095240,68967503,31946,207,6月2日,1,bilibili 2020百大UP主、知名UP主,2,2,1,https://space.bilibili.com/562197,游戏,生活,中国BOY,10,4.60%,14.89,3.13,0.84,54.62,2021/12/30,2021/12/30 15:45,1,1,1,1,2021/12/30 0:12,2021/12/27 11:43,1584619.238,151481.476,17810.381,0.13%
53,456664753,央视新闻,保密,https://i1.xxkol.cn/bfs/face/94e6b1b94c542061fade006c1682464127e8aad0.jpg,中央广播电视总台央视新闻官方账号,6,1,121,3862,7794123,1300309665,176770348,4055,122,1月1日,5,央视新闻官方账号,1,2,1,https://space.bilibili.com/456664753,资讯,生活,,10,15.93%,38.09,55.16,0.11,180.41,2021/12/30,2021/12/30 15:41,1,1,0,1,2021/12/30 0:12,2021/12/27 11:46,238239.018,27947.215,2616.408,0.48%
761,122879,敖厂长,保密,https://i2.xxkol.cn/bfs/face/3368af39da3285bdb46ee719b896602028433932.jpg,,6,1,1,396,7581093,1069904858,33821253,106535,71,,1,bilibili 2020百大UP主、知名UP主,2,1,0,https://space.bilibili.com/122879,游戏,生活,敖厂长,4,1.02%,1.15,1.21,0.57,13.05,2021/12/30,2021/12/30 15:18,1,1,1,1,2021/12/30 0:16,2021/12/27 12:47,1463126.143,96659.143,12085.286,-0.01%
34,10330740,观察者网,保密,https://i0.xxkol.cn/bfs/face/1d6f100b921c9b48914eda8f3b37e76ba9ef4ca5.jpg,广受年轻人心疼的时政网站（www.guancha.cn），合作联系market@guancha.cn。,6,1,91,11991,7188553,5775998019,296769410,12710,92,5月27日,5,观察者网 官方账号,1,2,1,https://space.bilibili.com/10330740,资讯,生活,"时政,科技,知识,国际,生活",10,20.31%,6.92,94.34,0.16,237.94,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:45,342805.658,23205.479,1204.495,-0.01%
1409,1577804,某幻君,男,https://i2.xxkol.cn/bfs/face/a7eda2f97431d13f89a43b310262d1b19be83c01.jpg,有事私信新娘浪微博@某幻今天拖更了没,6,1,0,283,7182549,688510756,47676688,19693,203,1月1日,1,bilibili 2020百大UP主、 知名UP主,2,2,1,https://space.bilibili.com/1577804,游戏,生活,,10,4.22%,9.53,1.81,0.79,42.66,2021/12/30,2021/12/30 15:44,1,1,1,1,2021/12/30 0:38,2021/12/27 13:52,2136875.364,215018,55865.545,0.05%
19,13354765,徐大虾咯,男,https://i1.xxkol.cn/bfs/face/c44a60be5d81ed32a50578b394e50e104e8ea2f7.jpg,微博@徐大虾咯咯丨商务合作请联系WX:xudaxiawork丨QQ2673049513,6,1,0,207,7173596,979317418,52153511,9824,161,10月7日,1,bilibili 2020百大UP主、2019年度原创栏目奖UP主,2,2,1,https://space.bilibili.com/13354765,生活,游戏,徐大虾,10,4.36%,20.12,-0.71,-4.66,40.06,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:44,2966291.364,253338.273,27164.909,0.12%
1,777536,LexBurner,男,https://i2.xxkol.cn/bfs/face/27e06996840a7cb3ee0fee52f6b4616cd6567def.jpg,"新浪微博：http://weibo.com/lexburner
",6,1,0,387,7148408,1107887265,53063314,0,0,11月22日,1,bilibili 知名UP主,2,2,1,https://space.bilibili.com/777536,动画,游戏,"良心up,吐槽,动漫杂谈,蕾丝彦祖,自己夸自己",1,0%,-19.15,-0.11,-4.18,0,2021/8/21,2021/8/21 17:28,1,1,1,2,2021/8/23 0:10,2021/12/27 11:43,0,0,0,-0.49%
36,5970160,小潮院长,男,https://i1.xxkol.cn/bfs/face/834eb0de8d2f470bf03e4ea92831b14f3824c863.jpg,微博@小潮院长哈哈哈 商务合作请联系QQ2284771898,6,1,0,256,7133202,1101791839,71612102,9937,302,6月21日,1,bilibili 2020百大UP主、知名UP主,2,2,1,https://space.bilibili.com/5970160,游戏,生活,"小潮,我的世界,小潮院长,国基网骗",10,4.97%,27.91,1.21,4.12,59.72,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:45,5811691.286,441529.429,56515,0.29%
27,176037767,我是郭杰瑞,男,https://i2.xxkol.cn/bfs/face/6182455e4d61159121c223ddc7a3a381f2d4d056.jpg,Fibo咖啡联合创始人，微博@我是郭杰瑞,6,1,0,452,7050339,849816226,39737033,14916,20,8月12日,1,bilibili 2020百大UP主、 知名UP主,2,1,0,https://space.bilibili.com/176037767,生活,数码,,8,2.18%,6.32,0.82,1.58,22.72,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:44,1882439,158879.222,7204.556,-0.02%
1550,174501086,哔哩哔哩会员购,保密,https://i2.xxkol.cn/bfs/face/5cb0ba0589c19fa1c3420a691fe157b84af3c0ab.jpg,【关注会员购】每周送【手办周边各种福利】下滑看动态了解一下~/商品问题咨询请转“我的-会员购中心-在线客服”哦,6,1,1954,193,6959507,11945754,32280704,923,22,9月19日,3,哔哩哔哩会员购 官方账号,1,2,1,https://space.bilibili.com/174501086,科技,音乐,,10,0.01%,39.5,0.82,0.02,0.26,2021/12/30,2021/12/30 15:34,1,1,0,1,2021/12/30 0:38,2021/12/27 14:07,51373,4549,146,0.41%
107,1532165,papi酱,保密,https://i2.xxkol.cn/bfs/face/e45a7b248f496fad8b32d3b9cfa0335339331798.jpg,一个集美貌与才华于一身的女子。 商业合作VX：13031188440，请标明【papi合作】。,6,1,0,229,6920308,599847590,19363225,8306,19,1月1日,1,bilibili 2018百大UP主、知名搞笑UP主,2,0,0,https://space.bilibili.com/1532165,生活,,,9,3.51%,3.39,1.15,0.92,29.13,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:48,2225156.3,225768.9,14182.3,0.25%
63115,604003146,帕梅拉PamelaReif,保密,https://i0.xxkol.cn/bfs/face/95823274c36951a15ca12e3b05078859c536f4a4.jpg,帕梅拉 - Pamela Reif Official - from Germany - Fitness Videos,6,0,0,95,6855104,169390736,3038214,697,19,,2,PamelaReif官方账号，bilibili 2020百大UP主、健身UP主,2,0,0,https://space.bilibili.com/604003146,时尚,,,10,0.55%,40.2,1.87,0.62,9.01,2021/12/30,2021/12/30 12:45,0,1,1,1,2021/12/30 5:45,2021/12/30 3:16,337578.357,8306.714,18065,0.55%
29,337521240,记录生活的蛋黄派,保密,https://i2.xxkol.cn/bfs/face/9ba6c7a0d3a2ebfe9db2f46219ece98e210d0269.jpg,微博：记录生活的蛋黄派 合作邮箱：2305411787@qq.com,6,1,0,566,6808887,955420416,67822045,5120,90,1月1日,1,bilibili 2019百大UP主、知名美食UP主,2,2,1,https://space.bilibili.com/337521240,生活,时尚,,10,7.33%,23,2.97,1.11,82.13,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:44,2581555,258961.222,14984.833,0.10%
72,1935882,指法芬芳张大仙,男,https://i2.xxkol.cn/bfs/face/6426336744dd49a744eca32855808073988bd2ce.jpg,指法芬芳张大仙z,6,1,199,3964,6722147,1602098407,85134487,20077,297,12月2日,2,知名游戏主播张大仙,2,2,1,https://space.bilibili.com/1935882,游戏,生活,,10,7.09%,8.94,29.67,0.11,86.92,2021/12/30,2021/12/30 15:41,1,1,0,1,2021/12/30 0:12,2021/12/27 11:46,258831.889,20652.319,592.88,0.03%
15,250858633,华农兄弟,保密,https://i0.xxkol.cn/bfs/face/bac504655c69ab937b0be4557e27535f794b0c66.jpg,实拍农村美食美景，有趣好玩新鲜事！合作咨询 xy860086 ,6,1,0,462,6492758,1123632378,56448100,23722,111,,1,bilibili 知名UP主,2,2,1,https://space.bilibili.com/250858633,生活,游戏,,10,3.70%,4.25,2.69,0.58,35.91,2021/12/30,2021/12/30 15:45,1,1,1,1,2021/12/30 0:12,2021/12/27 11:43,1460409.2,112936,3860.7,0.01%
46,99157282,盗月社食遇记,保密,https://i1.xxkol.cn/bfs/face/c7fb5da587c2ec6b56ad47579933fda34c000457.jpg,心里有光，哪儿都美。,6,1,12,453,6447803,870202586,53946487,17896,1007,4月9日,1,bilibili 2020百大UP主、知名UP主,2,2,1,https://space.bilibili.com/99157282,生活,舞蹈,"美食,搞笑",10,16.17%,25.51,2.91,1.3,124.65,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:45,3164369.385,345788.5,49505.385,0.35%
493,37663924,硬核的半佛仙人,保密,https://i1.xxkol.cn/bfs/face/aaf33dced1941af0946f37c62f4b48fcaba9c9a2.jpg,我看诸君皆装X，料诸君看我应如是。,6,1,139,255,6380001,542257496,52165884,8221,121,,1,2020年度黑马UP主、bilibili 2020百大UP主,2,2,1,https://space.bilibili.com/37663924,科技,时尚,,10,5.50%,15.92,5.38,0.5,46.16,2021/12/30,2021/12/30 15:19,1,1,1,1,2021/12/30 0:14,2021/12/27 12:21,1431180.742,90479.645,17502.935,0.72%
45,8960728,日食记,男,https://i1.xxkol.cn/bfs/face/1300ff9c3e45014f54ab5bd3602790a378ce6ac4.jpg,温暖治愈你的心和胃：）微博@日食记@姜老刀@酥饼大人，公众号rishi-ji，欢迎来微信找铲屎官玩：rishiji002,6,1,1,448,6370719,308506898,14778206,2790,38,4月14日,1,bilibili 2018百大UP主、 知名美食UP主,2,2,1,https://space.bilibili.com/8960728,生活,纪录片,"日食记,夜食记",10,2.98%,28.6,1.59,0.67,27.96,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:45,1980979.917,130415.667,26307.667,0.43%
1549,7584632,哔哩哔哩纪录片,男,https://i2.xxkol.cn/bfs/face/e4c9c05514017443f5ff05ceccfd330804fb44cd.jpg,莫得感情偶尔咕咕的纪录菌,6,1,119,9882,6348558,3702738470,33346713,0,0,1月1日,3,哔哩哔哩纪录片官方账号,1,2,1,https://space.bilibili.com/7584632,纪录片,娱乐,,10,2.89%,18.1,92.97,0.24,26.18,2021/12/30,2021/12/30 15:34,1,1,0,1,2021/12/30 0:38,2021/12/27 14:07,61689.702,1864.043,7.797,0.30%
3539,14804670,无穷小亮的科普日常,保密,https://i2.xxkol.cn/bfs/face/6de12181ed59518fc7beff2046fb3218d50206cc.jpg,发一些科普工作中的有趣小事,6,1,1,192,6305452,445491965,28592115,2157,137,,2,科普作家张辰亮,2,2,1,https://space.bilibili.com/14804670,科技,生活,,10,7.73%,62.5,2.42,1.33,66.88,2021/12/30,2021/12/30 15:12,1,1,1,1,2021/12/30 1:06,2021/12/27 18:09,2292209.348,194698.565,14146.783,0.63%
1548,15773384,哔哩哔哩电影,保密,https://i2.xxkol.cn/bfs/face/90163fee73aef056cc4521eaab4a8408711d56f6.jpg,,6,0,16,3100,6168025,4046497193,42430567,0,0,,3,哔哩哔哩电影官方账号,1,2,1,https://space.bilibili.com/15773384,电影,影视,,10,3.04%,15.25,20.6,1.06,30.17,2021/12/30,2021/12/30 15:34,1,1,0,1,2021/12/30 0:38,2021/12/27 14:07,209416.464,6958.218,9.77,0.55%
1074,375375,伊丽莎白鼠,保密,https://i0.xxkol.cn/bfs/face/6c36ec15f6d7ddd9bdb558511521bd0256779e1c.jpg,一个热爱鬼畜的普通人。微博：@伊丽莎白鼠  weibo.com/LittleWhiteMouse ,6,1,0,79,6165656,476236493,23816518,9290,34,,1,bilibili 2020百大UP主、知名UP主,2,2,1,https://space.bilibili.com/375375,鬼畜,游戏,鬼畜,4,0%,5.1,0,11.68,0,2021/8/23,2021/8/23 0:18,1,1,1,2,2021/8/23 0:23,2021/12/27 13:34,0,0,0,0.10%
44,290526283,美食作家王刚R,保密,https://i1.xxkol.cn/bfs/face/1463fa4ea6bffd867dc257dca87248bb1d671cde.jpg,美食作家王刚（线上强大的美食教学之一）提升国民对美食的认知、追求,6,1,12,496,6117100,684977587,30214825,7351,80,,1,bilibili 知名美食UP主,2,2,1,https://space.bilibili.com/290526283,生活,娱乐,,10,4.22%,14.93,4.56,0.41,53.3,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:45,1024954.034,76858.069,10154.69,0.19%
1412,280793434,手工耿,保密,https://i1.xxkol.cn/bfs/face/b8a75ae7d2a0e2af1d36ca9f1084d850eebb28e3.jpg,喜欢做一些有趣的小手工。欢迎提供一些有意思想法。谢谢,6,0,0,167,6079897,578117851,33506809,0,0,,1,bilibili 2019百大UP主、知名搞笑UP主,2,2,1,https://space.bilibili.com/280793434,生活,,,10,4.38%,15.83,1.1,1.37,43.56,2021/12/30,2021/12/30 15:44,1,1,1,1,2021/12/30 0:38,2021/12/27 13:52,3901878,335288.857,34166.857,0.51%
7420,883968,暴走漫画,保密,https://i0.xxkol.cn/bfs/face/c93ff5df2cd0c0c9384b139c86d1a56a9540c9a2.jpg,欢迎走进b站知名的严肃频道，商务合作微信：dannyren,6,1,1,235,6015594,1223467478,23447929,7867,72,1月1日,2,暴走漫画官方账号,2,2,1,https://space.bilibili.com/883968,生活,娱乐,"搞笑,二次元,脱口秀,暴走漫画,大事件",6,1.50%,-0.09,1.7,0.56,20.8,2021/12/30,2021/12/30 14:58,1,1,1,1,2021/12/30 1:23,2021/12/28 8:48,474980.211,41574.105,3562.474,-0.09%
1430,489412051,哔哩哔哩晚会,保密,https://i1.xxkol.cn/bfs/face/44e6d1d73788c5f662d7dbb4832f1e9efc8f3919.jpg,B站跨晚送你一场焰火，12月31日20:30敬请期待！,6,1,1,311,5815353,390193382,8148070,0,0,1月1日,3,哔哩哔哩晚会官方账号,1,1,0,https://space.bilibili.com/489412051,娱乐,,,6,0.54%,8.49,5.6,0.22,10.19,2021/12/30,2021/12/30 15:44,1,1,0,1,2021/12/30 0:38,2021/12/27 13:52,650071.211,15530.895,6.158,5.53%
302,2206456,花少北丶,男,https://i1.xxkol.cn/bfs/face/06c233a0136f738f8f54a08770dc7d484ae45081.jpg,精神分裂症+间歇性失忆症 微博：花少北   工作邮箱:986643586@qq.com,6,1,0,197,5799497,510101839,35127604,26060,321,1月1日,1,bilibili 2020百大UP主、知名UP主,2,2,1,https://space.bilibili.com/2206456,游戏,生活,,10,2.58%,10.54,1.21,1,35.4,2021/12/30,2021/12/30 15:21,1,1,1,1,2021/12/30 0:13,2021/12/27 11:56,2636192.4,233037,60301.2,0.11%
76,7788379,兔叭咯,保密,https://i1.xxkol.cn/bfs/face/7ab577c36aac95d53f03c9b6f92ea24ab1edfe98.jpg,微博：兔叭咯不是2pac    商务微信：tubage520520   ,6,1,0,268,5713859,278137785,26896517,2900,81,,1,bilibili 2020百大UP主、知名UP主,2,2,1,https://space.bilibili.com/7788379,生活,科技,,10,6.01%,24.64,2.31,0.65,59.61,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:46,2074255.706,164926.412,32707.588,0.34%
28,4162287,渗透之C君,女,https://i0.xxkol.cn/bfs/baselabs/d294c0beb05a2d9a92191b40d206f48177fedbb6.jpg,微博@渗透之C菌｜直播间: live.bilibili.com/1011｜商务合作QQ：297122051,6,1,1,335,5693146,531055804,22756858,34874,71,5月11日,1,bilibili 2020百大UP主，知名UP主,2,2,1,https://space.bilibili.com/4162287,游戏,生活,"恐怖游戏,帅,C菌",5,1.17%,2.82,1.43,0.53,14.81,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:44,729501.273,49163.091,9933.545,-0.07%
328,37090048,哔哩哔哩创作中心,保密,https://i1.xxkol.cn/bfs/face/01365904ffb64d1858da7e20e1040b9f2d94165d.jpg,这里是跟着荣誉周报改签名赢好运的可爱创作君！用心支持创作、扶持up主成长，这里有创作中心新功能/使用指导/创作学院/激励计划一手情报！,6,1,444,143,5574549,46293677,15685271,550,10,7月5日,3,哔哩哔哩创作中心官方账号,1,2,1,https://space.bilibili.com/37090048,生活,时尚,,10,0.13%,24.92,7.09,0.13,12.12,2021/12/30,2021/12/30 15:21,1,1,0,1,2021/12/30 0:14,2021/12/27 11:57,453946.333,18882,4806.333,0.50%
1847,5870268,三代鹿人,男,https://i0.xxkol.cn/bfs/face/958180d267ab29b8d9366838e9b67739056db0a8.jpg,祖上三代，都是路人。合作请联系Q: 3614483160,6,1,0,141,5474103,427502068,49906006,3803,60,8月9日,1,bilibili 知名影视UP主,2,2,1,https://space.bilibili.com/5870268,影视,生活,,10,9.52%,45.52,2.14,1.69,190.92,2021/12/30,2021/12/30 15:20,1,1,1,1,2021/12/30 0:51,2021/12/27 15:08,3092428.6,311134.133,25261.4,-0.50%
57,168598,逍遥散人,男,https://i1.xxkol.cn/bfs/face/8a5de2d7486251e80307d8600cbf8649eb4035fe.jpg,快乐 微博：逍遥散人M 工作联系邮箱xysrgame@126.com,6,1,1,737,5397543,595161536,30480499,31767,321,2月5日,1,bilibili 2020百大UP主、直播高能主播,2,2,1,https://space.bilibili.com/168598,游戏,生活,"逍遥散人,散人",10,2.60%,7.64,3.13,0.48,33.19,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:46,585316.9,52840.65,15359.35,0.15%
137,3957971,贤宝宝Baby,保密,https://i2.xxkol.cn/bfs/face/1effdaecc83bbfabcb9c2f93af99e255bcd0f7db.jpg,微博:是贤宝宝本人  合作邮箱:2411507205@qq.com,6,1,0,295,5239520,773605935,44624034,3335,25,,1,bilibili 2019百大UP主、知名UP主,2,2,1,https://space.bilibili.com/3957971,生活,游戏,,10,6.35%,17.76,2.31,1.05,74.66,2021/12/30,2021/12/30 15:40,1,1,1,1,2021/12/30 0:13,2021/12/27 11:51,2703656.357,222957.429,12578.929,0.13%
56,10119428,小片片说大片,保密,https://i2.xxkol.cn/bfs/face/949fd3f0b9fe23703c970d494edc41ae52ee32de.jpg,VX公众号：小片片说大片。商务合作VX：skibe0320,6,1,91,1104,5133407,950151708,55940743,6518,67,,1,bilibili 2020百大UP主、知名影视UP主,2,2,1,https://space.bilibili.com/10119428,影视,动画,"模玩,电影,吐槽,搞笑,悬疑",10,7.52%,16.58,5.88,0.64,81.32,2021/12/30,2021/12/30 15:41,1,1,1,1,2021/12/30 0:12,2021/12/27 11:46,1186970.659,78956.568,6690.068,0.08%
